Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Stimulus	Event Marker
00:00:00.000	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.033	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.066	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.100	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.133	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.166	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.200	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.233	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.266	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker
00:00:00.300	0.952888600	0.001579778	0.057991070	0.000262334	0.003701525	0.000045422	0.006527096	No Stimulus	No Event Marker
00:00:00.333	0.952074600	0.001845886	0.061236020	0.000255753	0.003467373	0.000047153	0.006110542	No Stimulus	No Event Marker
00:00:00.366	0.953092800	0.001921454	0.061054490	0.000251118	0.003290487	0.000052153	0.005892002	No Stimulus	No Event Marker
00:00:00.400	0.953574300	0.001939536	0.061801490	0.000244862	0.003163011	0.000052263	0.005686117	No Stimulus	No Event Marker
00:00:00.433	0.952159200	0.002041494	0.066087730	0.000255207	0.003139702	0.000051583	0.005375998	No Stimulus	No Event Marker
00:00:00.466	0.950251600	0.002163035	0.070910100	0.000259078	0.003151686	0.000053147	0.005365434	No Stimulus	No Event Marker
00:00:00.500	0.948063100	0.002197818	0.075709180	0.000260664	0.003147756	0.000056705	0.005284982	No Stimulus	No Event Marker
00:00:00.533	0.948770200	0.002225595	0.075022790	0.000265392	0.003152151	0.000059135	0.005546324	No Stimulus	No Event Marker
00:00:00.566	0.948595200	0.002271334	0.074927170	0.000274619	0.003215062	0.000058988	0.005780970	No Stimulus	No Event Marker
00:00:00.600	0.947617800	0.002288920	0.077063810	0.000282387	0.003173342	0.000060049	0.006124024	No Stimulus	No Event Marker
00:00:00.633	0.946821700	0.002240494	0.077896000	0.000290514	0.003091763	0.000061722	0.006650224	No Stimulus	No Event Marker
00:00:00.666	0.945018400	0.002247297	0.080520880	0.000304788	0.003081565	0.000065137	0.007061071	No Stimulus	No Event Marker
00:00:00.700	0.942001800	0.002316624	0.084666590	0.000328567	0.003075418	0.000068433	0.007247644	No Stimulus	No Event Marker
00:00:00.733	0.939664700	0.002403078	0.087719680	0.000350578	0.003071457	0.000071750	0.007395174	No Stimulus	No Event Marker
00:00:00.766	0.937903800	0.002400982	0.091384700	0.000353623	0.003149221	0.000072667	0.007512755	No Stimulus	No Event Marker
